Time,Humans,Zombies
0.0,69,99
0.01,68,97
0.02,67,95
0.03,66,93
0.04,65,91
0.05,64,89
0.060000000000000005,63,87
0.07,62,85
0.08,61,83
0.09,60,81
0.09999999999999999,59,79
0.10999999999999999,58,77
0.11999999999999998,57,75
0.12999999999999998,56,73
0.13999999999999999,55,71
0.15,54,69
0.16,53,67
0.17,52,65
0.18000000000000002,51,63
0.19000000000000003,50,61
0.20000000000000004,49,59
0.21000000000000005,48,58
0.22000000000000006,47,57
0.23000000000000007,46,56
0.24000000000000007,45,55
0.25000000000000006,44,54
0.26000000000000006,43,53
0.2700000000000001,42,52
0.2800000000000001,41,51
0.2900000000000001,40,50
0.3000000000000001,39,49
0.3100000000000001,38,48
0.3200000000000001,37,47
0.3300000000000001,36,46
0.34000000000000014,35,45
0.35000000000000014,34,44
0.36000000000000015,33,43
0.37000000000000016,32,42
0.38000000000000017,31,41
0.3900000000000002,30,40
0.4000000000000002,29,39
0.4100000000000002,28,38
0.4200000000000002,27,37
0.4300000000000002,26,36
0.4400000000000002,25,35
0.45000000000000023,24,34
0.46000000000000024,23,33
0.47000000000000025,22,32
0.48000000000000026,21,31
0.49000000000000027,20,30
0.5000000000000002,19,29
0.5100000000000002,18,28
0.5200000000000002,17,27
0.5300000000000002,16,26
0.5400000000000003,15,25
0.5500000000000003,14,24
0.5600000000000003,13,23
0.5700000000000003,12,22
0.5800000000000003,11,21
0.5900000000000003,10,20
0.6000000000000003,9,19
0.6100000000000003,8,18
0.6200000000000003,7,17
0.6300000000000003,6,16
0.6400000000000003,5,15
0.6500000000000004,4,14
0.6600000000000004,3,13
0.6700000000000004,2,12
0.6800000000000004,1,11
